park,agency,park_zip,park_lat,park_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
STONE CELLAR GUARD STATION,USFS,   NaN,38.0191667,-106.6813889,3,5,8,65.8,168,181,2,3,5,111.4,225.7,659.3,225,825,4820
STONEY GROUP SHASTA-TRINITY,USFS,   NaN,40.8513889,-122.8502778,24.2,35,50,73.2,148,228.3,2,3,4.8,93.7,269.1,355.8,119,444,15396
STONY CABIN,USFS,59858,46.3491194,-113.6094,2,2,4,6,18,52,1,2,2,64.5,74.1,221.5,755,1567,4314
STONY CREEK SEQUOIA,USFS,94301,36.6647222,-118.8316667,2,4,6,14,39,91,2,2,3,279.1,313.3,358.1,9452,24900,110671
STONY FORK CABIN,USFS,   NaN,37.0297222,-81.1230556,2,2,4,17,40,85,2,3,4,183.1,364.6,501.5,390,1255,3439
STONY FORK CAMPGROUND,USFS,   NaN,37.0097222,-81.1816667,2,2,4,8,18,43,1,2,3,71.8,226,480.3,1681,4636,14552
STONY POINT,USFS,56630,47.1358333,-94.4566667,2,3,4,30,96,171,2,3,4,94.2,173.8,241.6,6400,23710,81874
STORM MOUNTAIN,USFS,   NaN,40.6233333,-111.7430556,40,50,100,17,42,115,1,1,1,12,18.2,23.3,822,3,115
STOVE PRAIRIE,USFS,   NaN,40.6833861,-105.3966472,3,4,6,25,71,126,2,2,3,40.1,75,113.5,1267,2742,13002
STRAWBERRY BAY,USFS,   NaN,40.1772222,-111.1733333,2,4,8,10,22,68,2,3,3,72.4,82.9,102,6366,19024,111578
STRAYHORN LANDING,USACE,   NaN,35.6161111,-95.0569444,2,3,5,0,2,63,2,3,5,43.8,91,221.8,5822,23452,81640
STUART RECREATION AREA,USFS,   NaN,38.9175,-79.7711111,2,4,15,14,42,131,2,3,4,18.8,62.7,166.9,2375,6517,29939
STUB CREEK CABIN,USFS,80526,40.7938889,-105.905,2,4,5,40,87,158,2,2,3,97.7,144.2,984.9,220,588,2188
STUMP CREEK GUARD STATION,USFS,   NaN,42.7941667,-111.08,4,5,8,5,24,118.5,1,2,3.7,85.3,124,441.2,147,476,2831
STUMPY MEADOWS,USFS,   NaN,38.9041667,-120.5916667,3,5,6,12,24,45,2,2,3,63.2,84.3,179.9,3266,7325,36086
SUGAR BOTTOM,USACE,   NaN,41.7563889,-91.5591667,2,4,6,0,4,42,2,2,3,22.9,35.9,96.4,33226,106810,411537
SUGAR LOAF,USACE,   NaN,35.5458333,-92.2722222,3,4,8,10,36,142,2,3,4,54.2,63.5,78.1,3179,10937,52718
SUGARLOAF,USFS,   NaN,41.3561111,-106.2938889,2,3,5,34,96,169,2,3,3,135.7,180,670.7,657,1844,6705
SUGARLOAF 1 CAMPGROUND,USFS,   NaN,44.2602778,-71.5047222,2,3,5,14,26,51,2,2,3,165,213.2,281.4,2359,6277,23844
SUGARLOAF 2 CAMPGROUND,USFS,   NaN,44.2580556,-71.5044444,2,4,5,13,28,69,2,2,3,153.9,208.5,268.8,2855,8069,31536
SULOIA LAKE CABIN,USFS,   NaN,57.4211111,-135.7194333,3,4,4,3,33,171,1,2,3,39.6,39.6,39.6,58,136,469
SULPHUR CAMPGROUND,USFS,   NaN,40.7887333,-110.8849556,2.2,5,8,11,25,76.3,2,2,3,85.9,93.4,104.9,619,1842,11605
SUMMERDALE CAMPGROUND,USFS,94301,37.4706472,-119.6427333,2,4,6,17,51,115,1,2,3,222.2,392.9,556.7,8225,20353,83116
SUMMERSVILLE LAKE SHELTERS,USACE,26651,38.2211111,-80.8938889,31,50,50,22,74,200,1,1,1,12.1,20.1,53.3,1021,3,130
SUMMIT GUARD STATION BUNKHOUSE,USFS,99362,45.4763889,-118.2088889,2,2,4,8,25,72,1,2,3,250.7,346.4,386.1,235,581,1717
SUMMIT LAKE NORTH,NPS,96063,40.4944444,-121.425,2,4,5,21,62,128,1,2,3,224.3,314.1,562.7,5484,12813,48800
SUMMIT LAKE SOUTH,NPS,96063,40.4902778,-121.4236111,2,4,5,14,41,90,1,2,3,224.5,310.5,386.5,4423,10386,39720
SUMMIT LAKE STOCK CORRAL,NPS,   NaN,40.4944444,-121.4175,2,4,10,20,93,203,2,3,5,92.9,93.1,214.5,42,173,1163
SUMMIT RIDGE LOOKOUT CABIN,USFS,   NaN,43.8541667,-104.0525,2,4,6,19.5,57.5,128,1,2,3,75.3,652.1,1077.1,596,1395,6549
SUMMIT SPRINGS GUARD STATION,USFS,   NaN,40.8666667,-109.7333333,32.8,35,40,22.8,78,254.8,2,3,3,87.5,109.8,164.8,7,19,653
SUMMIT VIEW CAMPGROUND,USFS,83254,42.5591667,-111.2969444,3,6,15,10,36,95,2,2,3,54,114.7,216.5,531,1413,15518
SUNDANCE,USFS,   NaN,44.4430556,-104.3480556,2,2,2.3,8,22,79.5,1,2,3,745.7,982.2,1457.9,117,285,622
SUNGLOW CAMPGROUND,USFS,   NaN,38.3416667,-111.5188889,4,10.5,20,12,34.5,89,1,2,3,230.8,270.1,610.3,282,567,6981
SUNLIGHT BAY,USACE,   NaN,34.9547222,-93.3038889,1,3,5,0,0,8,2,3,6,54.8,86,112.9,2028,10689,36416
SUNLIGHT RANGERS CABIN,USFS,   NaN,44.7269444,-109.5541667,4,6,8,28.5,81,164.5,2,2,3,118.1,548.8,1346.6,268,720,4259
SUNNY GULCH CAMPGROUND,USFS,   NaN,44.1761111,-114.9091667,2,4,8,23,71,162.5,2,2,3,126,168.8,465.3,1700,4566,24439
SUNNYSIDE CAMPGROUND,USFS,   NaN,44.0597222,-122.2197222,2,4,7,5.2,9,22.5,2,2,2,82.5,160.7,172.6,151,308,1436
SUNRISE CABIN,USFS,   NaN,36.8022222,-80.9991667,4,6,8,19.7,47,101,2,3,4,195.9,374.9,469.2,277,920,5024
SUNRISE CAMPGROUND,USFS,   NaN,41.92,-111.4602778,4,6,8,25,87,161,2,2,3,72.8,107.8,153.5,2888,6747,40267
SUNSET,USFS,   NaN,42.3722222,-122.1969444,2,4,6,18,54,158,2,3,4,49.5,60.9,117.4,5437,17414,71776
SUNSET CAMPGROUND,NPS,   NaN,37.6344444,-112.1669444,2,3,4,57,116,161,1,1,2,676.1,1182.3,2518.6,10273,17165,70200
SUNSET CAMPGROUND (CA),NPS,   NaN,36.7377778,-118.9647222,20,29,30,77,147,211.8,2,3,4,283.4,308.4,343,179,516,12918
SUNSET-UNION VALLEY,USFS,   NaN,38.8658333,-120.405,4,6,6,28,80,160,2,3,3,74.1,92.1,167.5,10121,30178,167410
SUNSHINE GUARD STATION,USFS,   NaN,44.6613889,-118.7005556,2,2,4,9,27,64.5,2,2,3,240,328,358.6,263,686,2305
SUNSTRIP,USFS,94301,45.1526222,-122.1095278,2,4,6,7,18,42.7,2,2,2,55.6,59.6,66.7,791,1579,6522
SUPPLY PARK,USACE,73841,36.5,-99.5833333,1,3,5,0,6,32,1,2,3,19.8,53.4,145.3,19824,53801,211372
SURRY MOUNTAIN LAKE BEACH,USACE,   NaN,43.0022222,-72.3227778,12,50,80,22.3,40,70.2,2,2,2.8,4.8,14.1,27.8,105,7,266
SURVEYORS LOOKOUT,USFS,   NaN,46.9941667,-115.5333333,2,3,4,97,169,181,1,2,2,111.3,134.6,168.6,211,436,1295
SUSQUEHANNOCK,USACE,   NaN,40.3875,-78.05,2,4,7,1,16,79,2,2,3,35.9,90.9,162.9,9718,25344,139197
SUTTON BLUFF RECREATION AREA,USFS,63664,37.4763889,-91.0069444,3,4,8,11,25,58.7,2,2,3,106,132.5,160.2,1727,4407,23626
SUTTON CAMPGROUND,USFS,   NaN,44.0541667,-124.1072222,2,4,6,10,23,61,2,2,3,78.2,119.3,228.8,3024,7997,56006
SUTTON LAKE PICNIC SHELTERS,USACE,26601,38.6563889,-80.6819444,30,50,50,17,51,140.5,NaN,NaN,NaN,8.6,18.5,79.4,620,0,0
SWAN CABIN,USFS,   NaN,35.3597222,-84.0030556,3,5,8,82.5,162,181,2,3,4,101.2,165.8,293,664,2029,11361
SWAN CREEK CAMPGROUND,USFS,   NaN,45.3725,-111.1680556,2,3,4,9,33,91,2,2,3,31.8,66,223.4,1465,3424,11679
SWAN GUARD STATION,USFS,59911,47.9094444,-113.8352778,3,4,7,21,63,140,1,2,2,47.7,117.7,200.9,497,990,4859
SWAN LAKE CABIN PETERSBURG,USFS,   NaN,57.0305556,-132.6919444,2,3,4,25.2,110,175,2,3,5,44.6,176.8,1785.4,163,539,1765
SWAN LAKE CABIN SEWARD,USFS,   NaN,60.6155556,-149.8388889,2,4,5,19,99,173.8,1,1,2,55.3,66.2,74.6,911,1212,4823
SWAN LAKE CAMPGROUND,USFS,   NaN,47.9363889,-113.8505556,2,4,6,12,34,101,2,3,4,12.9,130.3,337.3,1984,6491,38121
SWAN LAKE KITCHEN,USFS,   NaN,48.5172222,-118.8369444,15,25,35,44.8,132,252,2,3,3,37.8,135.5,153.2,119,363,8751
SWEETWATER,USFS,94301,37.365,-119.3522222,3,6,6,10,31,76,2,3,4,158.4,263.6,405.9,808,2717,13113
SWEETWATER CG,USACE,30120,34.1944444,-84.5788889,3,5,6,0,3,24,2,2,3,14.6,24.4,37.8,21818,63452,322944
SWEETWATER LAKE CABIN,USFS,97413,55.9522222,-132.9386111,2,3,4,1,5,21.8,1,1,2,55.8,55.8,1168.9,267,572,1922
SWINGING BRIDGE,USFS,84319,44.1715583,-116.1209611,3,6,8,8,18,61,2,2,3,60.5,69.2,439.3,330,746,4083
SYCAMORE CABIN,USFS,   NaN,34.3519444,-111.9702778,3,5,6,6,20.5,46.5,1,2,2,80.8,100.4,114.5,416,817,3692
SYCAMORE FLATS PICNIC SHELTER,USFS,   NaN,35.2752778,-82.7105556,25,35,40,15.8,32,70.2,NaN,NaN,NaN,8.4,8.4,25.1,201,0,0
SYCAMORE GROVE CAMPGROUND,USFS,   NaN,40.1560528,-122.2040694,2,2,5,3,11,32,1,2,3,179.3,268.2,705.7,1825,4179,14948
SYLVAN PARK,USACE,   NaN,38.9683333,-98.4916667,2,3,5,0,5,31,2,2,3,61.7,93.8,257.7,3878,10167,48099
SYLVANIA WILDERNESS BCTRY CAMP,USFS,   NaN,46.2447222,-89.3105556,2,4,6,27,94,160,1,2,3,192.5,335.7,453.6,9471,23701,98192
San Juan River Permit Lottery and Reservations,BLM,84535,37.1797222,-110.9008333,2,3,3,33,88.5,129,NaN,NaN,NaN,272.1,394.8,568.2,1310,0,0
Sawbill Lake Campground - Superior National Forest,USFS,   NaN,47.8630556,-90.8852778,2,4,6,15,38,96.8,1,2,3,352.7,374.7,435.3,4407,11077,47806
Schoodic Woods Campground,NPS,   NaN,44.3814944,-68.0683611,2,2,2,170.5,175,181.2,4,5,5,373.6,725.6,2144.4,7,33,76
Shannon Creek Campground,USFS,   NaN,48.7402778,-121.5966667,2,4,6,11,30,86,2,2,3,77.7,109.1,133.5,1942,5096,22398
Silver Creek,USFS,86339,38.5889722,-119.7871667,2,4,5,12,28,82,2,2,3,100,176.9,238.8,1032,2634,9746
Silver Fir Campground,USFS,   NaN,48.9030556,-121.7016667,2,3,4,10,40,123,2,2,3,66.9,140.1,157.1,2659,6363,21783
Silver Springs Campground,USFS,   NaN,46.9955556,-121.5333333,2,4,5,14,43,108,2,2,3,59.8,80.2,98.3,4750,11001,46174
Soda Springs Campground,USFS,   NaN,46.9256944,-121.2141667,2,4,6,15,49,148,2,2,3,77.9,101.7,150.6,2453,6638,26009
South Abutment Recreation Area,USACE,   NaN,34.7466667,-90.1325,2,2,4,0,0,4,1,2,4,19.1,25.9,60.7,5113,20206,57756
Stoughton Pond Rec Area,USACE,   NaN,43.3811111,-72.5011111,40,52.5,60,28.5,50.5,100,NaN,NaN,NaN,7.6,7.6,20.7,28,0,0
Sunset Falls Campground,USFS,   NaN,45.8186111,-122.25,2,4,6,7,22,47,1,2,2,36.3,44.7,64.3,1209,2394,9311
Susan Creek Campground,BLM,   NaN,43.2966667,-122.8933333,2,3,5,11,33.5,53,2,2,3,56.4,107.3,264.1,386,1045,4067
Swift Creek Campground,USFS,   NaN,48.7288889,-121.6572222,2,4,6,16,41,118,2,2,3,71.7,91.4,121.8,2318,6670,43988
TABLE MOUNTAIN (ANGELES),USFS,   NaN,34.3863889,-117.6894444,2,5,8,9,21,44,1,2,2,44.4,63.9,80.1,6807,13137,76920
TABLE MOUNTAIN (INYO),USFS,   NaN,37.2080556,-118.5683333,12,20,25,158,322.5,360,2,3,4,328.9,356.4,384.5,240,709,12677
TABLE MOUNTAIN A-FRAME,USFS,98941,47.2816667,-120.5855556,2,4,8,37,104,169.2,1,2,2,122.7,135.2,144.1,281,575,2804
TABLE ROCK,USFS,   NaN,43.6308333,-111.5897222,25,25,29.5,117,171,252.2,1,2,3,24.2,33.2,56.4,191,472,13895
TAHKENITCH CAMPGROUND,USFS,   NaN,43.7963889,-124.1475,2,3,5,6,13,32,2,2,3,114.2,222.2,459.6,882,2068,7875
TAHKENITCH LANDING,USFS,   NaN,43.7966667,-124.1475,2,4,5,7,18,45,2,3,4,91.9,134.9,214.9,983,3227,12656
TAILWATER,USACE,   NaN,36.8944444,-86.1330556,2,4,6,0,5,33,2,2,3,17.3,32.4,53,7674,22438,99154
TAILWATER REC AREA,USACE,   NaN,36.2816667,-85.9375,25,26,50,8.5,18,26.5,NaN,NaN,NaN,3.2,10.1,14.9,23,0,0
TAKU GLACIER CABIN,USFS,   NaN,58.3908333,-134.0125,2,3,4,4,23,117,1,2,3,9.7,9.7,130.1,114,241,827
TALL CHIEF COVE,USACE,   NaN,36.3219444,-96.1208333,2,4,6,0,10,44,2,2,4,19.3,28,43.6,13174,40556,194950
TALLEY BEND,USACE,65355,38.1377778,-93.6172222,2,3,5,0,0,7,2,2,3,75.8,110.6,138.2,3299,9336,32428
TALLY LAKE CAMPGROUND,USFS,   NaN,48.4136111,-114.5855556,3,5,8,14,44,146,2,3,4,30.1,67,79.4,1545,5078,49291
TAMARACK LOOKOUT CABIN,USFS,97836,44.8741667,-119.6636111,2,2,4,10,35,101,2,2,3,237.3,248,270.8,210,506,1324
TANEUM CABIN,USFS,   NaN,47.1069389,-120.8527806,2,3,4,12,33,100,1.8,2,3,117.3,128.9,142,173,374,1144
TANGLEWOOD GROUP CAMP,USFS,94301,34.2922222,-116.8644444,20,30,40,25.8,59,102,2,2,2,70.3,110.9,137.6,181,377,10946
TANIS MESA NORTH CABIN,USFS,99689,59.2483333,-138.5027778,2,2,3.7,3.2,29,173.5,2.2,5,7,246.2,267.9,716.9,31,166,483
TANIS MESA SOUTH CABIN,USFS,99689,59.2483333,-138.5027778,2,3,4,27,69,180,4.8,7,10,258.6,267.9,1572.2,25,164,529
TANNERS FLAT,USFS,   NaN,40.5725,-111.6983333,4,7,10,13,40,104,1,2,2,15.1,22.9,29.2,5236,10300,93277
TANNERY,USFS,   NaN,40.8366667,-122.8480556,4,5,8,19,73.5,173,3,4,7,135.1,297.1,380.3,2670,13140,73081
TAR CAMP,USACE,   NaN,34.4497222,-92.1125,1,2,3,0,0,8,2,2,4,18.8,36.4,95.3,5428,18248,39958
TARGET TREE CAMPGROUND,USFS,91355,37.5683333,-108.3022222,2,3,4,7,14,48,1,2,3,158.1,435.6,1014.2,146,385,1632
TASHA EQUESTRIAN,USFS,   NaN,38.6236111,-111.6608333,2,6,10,15,34.5,101,2,3,4,138,208.3,240.4,206,701,5821
TAYLOR,USACE,   NaN,30.6641667,-97.3644444,2,3,6,0,1,18,2,2,3,21.7,38.3,58.6,7117,22670,82872
TAYLOR FERRY,USACE,   NaN,35.9408333,-95.2761111,2,3,4,0,0,11,2,3,5,30.5,48.7,64.4,9921,44408,148322
TE-AH,USFS,   NaN,37.5327778,-112.8125,2,4,8,13,29,62,2,2,3,256.1,275.4,574.2,2981,7554,38238
TEAL LAKE GROUP CAMPSITE,USFS,   NaN,40.5847222,-106.6055556,12,16.5,20,41,91,153.5,2,2,4,142.4,158,178.7,52,151,2522
TEANAWAY GUARD STATION,USFS,98941,47.3597222,-120.8552778,2,2,2,15,42,90.8,1,2,2,110.5,117.6,158.8,643,1291,2488
TEJAS PARK,USACE,   NaN,30.6959444,-97.8271167,2,4,8,0,4,17.2,1,1,2,21.7,27.4,39.3,2501,3616,19056
TELEGRAPH PICNIC PAVILION,NPS,   NaN,38.5583333,-77.3427778,30,40,70,23,39,123,NaN,NaN,NaN,9.4,14.2,25.7,86,0,0
TEMPLES LAKE,USACE,   NaN,31.1328389,-97.4949722,40,70,80,20,51,108,1,1,1,9.8,10.6,30.3,613,37,2679
TEN MILE CAMPGROUND (CA),USFS,94301,36.7941667,-118.9077778,2,4,6,11.5,30,64.5,1,2,3,156.5,327.6,474.6,104,253,1184
TEN-X CAMPGROUND,USFS,   NaN,35.9369444,-112.1230556,2,4,6,12,27,66,1,2,2,541,925.7,2110.2,5721,11266,79850
TENDERFOOT CREEK,USFS,   NaN,60.6355556,-149.4958333,2,4,5,10,24,63,2,2,3,57.6,66.4,68.5,1434,3093,11696
TENT PEG GROUP,USFS,94301,34.2652778,-117.0833333,15,30,40,20,41,83,2,2,2,57.1,91.6,119,154,304,8271
TERRACES CAMPGROUND - PICNIC AREA,USFS,   NaN,40.6319444,-115.3677778,25,45,64,38.2,99,167.8,1,3,3,34.8,75,397.1,51,80,2423
TETILLA PEAK,USACE,87041,35.6472222,-106.3044444,2,2,3,0,0,5,1,2,3,55.6,66.5,139.3,4241,10518,26348
TETON CANYON,USFS,   NaN,43.7566667,-110.9188889,2,4,6,12,36,89,2,2,3,152.4,426.4,1211.9,1650,3974,17622
TEXAS FLATS,USFS,94301,37.3927778,-119.5816667,15.8,22,30,25,61,139,2,2,3,71.1,223.5,395,445,1112,24317
THE LAURELS PICNIC AREA PAVILIONS,USFS,   NaN,36.2483333,-82.2686111,20,25,40,14,25,43,NaN,NaN,NaN,9.7,12.5,18.8,46,0,0
THE NARROWS,USACE,   NaN,36.9041667,-86.0708333,2,4,6,2,12,105,2,2,3,33.4,78.1,141.6,11314,34962,144543
THE POINT CAMPGROUND (OK) CHICKASAW NRA,NPS,73086,34.46,-97.02,2,4,5,4,13,34,2,2,3,78.6,117.3,169.1,3064,8864,33718
THEATER IN THE PINES,USFS,   NaN,40.4038889,-111.6027778,100,150,150,111,192,283,1,1,2,19.2,23.4,39.2,210,278,32050
THEODOSIA PARK,USACE,   NaN,36.5733333,-92.6536111,2,3,5,0,0,0,2,2,4,48.7,80.8,125.1,1983,6244,25490
THIBAUT POINT,USACE,65355,38.2963889,-93.3963889,2,4,6,0,4,47,2,2,3,47.3,85.3,117.2,4327,11776,72267
THIELSEN VIEW CAMPGROUND,USFS,   NaN,43.1695694,-122.1675861,2,3,5,11,28,87,1,2,3,125.6,258,495.6,392,1024,3946
THIRD CREEK GROUP SITE,USFS,   NaN,42.1913889,-112.1230556,30,50,63.2,74.5,149,241.2,2,2,3,34.4,39,97.7,129,309,15161
THIRD FORK CABIN,USFS,84319,44.3730556,-116.3008333,2,3,4,15.2,40,89,2,2,3,79.5,87,104.2,315,770,2362
THIRTY MILE,USFS,84319,37.7233333,-107.2575,2,3,5,21,72,164.7,3,4,7,283.9,579.4,1072.2,2143,10751,41242
THOMAS CANYON,USFS,   NaN,40.65,-115.4036111,2,4,6,15,44,119,2,2,3,71.6,340.7,486.8,3761,10364,44864
THOMPSON FLAT,USFS,   NaN,42.3247222,-113.6236111,25,25,50,32.2,104,199.2,2,2,3,21,40,175.9,115,277,9058
THOMPSON GUARD STATION,USFS,59644,46.5041667,-111.2083333,4,5,8,17.5,78,174,2,2,3,64.2,94.1,218.3,540,1372,7221
THOMPSON PEAK LOOKOUT TOWER,USFS,   NaN,47.1783333,-114.9075,2,2,4,15,42,111.2,1,1,2,81.5,175.7,575.7,497,763,2122
THOMSON CAUSEWAY,USACE,61285,41.9516667,-90.1108333,2,2,2,0,0,24,2,3,4,23.4,53.7,105.5,23763,79644,202190
THREE LAKES,USFS,   NaN,46.3191667,-84.9788889,2,4,6,3,8,16,1,2,3,52.5,232.6,459.8,140,340,1355
THREEMILE CAMPGROUND,USFS,   NaN,44.4961111,-109.9511111,2,3,4,7,22,62.5,2,2,4,328.1,941.4,1614,504,1432,4817
THUMB BUTTE,USFS,86313,34.5522222,-112.5213889,40,51,75,27,50,106.5,1,1,1,10,12,37.4,243,1,40
THUNDER RIDGE,USFS,91355,38.9766667,-104.9830556,3,4,7,13,32,77,2,2,3,18.9,33.6,73.6,2576,6013,28562
THUNDERBIRD GROUP CAMPGROUND,USFS,94301,35.8152778,-118.4572222,10,12,12,7.5,25,81,2,2,3,182.8,205.4,235.2,60,129,1664
TIE FLUME,USFS,59718,44.7152778,-107.4613889,2,3,5,16,54,135,2,3,5,101.7,168.1,589.6,1658,6278,21565
TIE HACK,USFS,   NaN,44.2830556,-106.9427778,2,4,5,11,24,62,2,2,3,119.6,142.3,209.1,1375,4178,15274
TIEDEMAN SLOUGH CABIN,USFS,   NaN,60.42,-145.4713889,2,3,4,2,23,161.5,1,2,4,91.8,219.1,283.8,59,157,542
TIGIWON COMMUNITY HOUSE,USFS,   NaN,39.5233333,-106.42,32.5,50,70,27.5,91,172.5,1,1,1,12.7,22,115.1,32,3,115
TILLICUM,USFS,   NaN,44.3672222,-124.0911111,2,3,4,17,47,121,2,2,3,111.9,175.6,538.3,8048,22279,78299
TILLIE CREEK,USFS,94301,35.7013889,-118.4544444,4,6,6,6,18,47,2,2,3,166.5,191.6,211.6,7450,18212,137070
TILLY JANE A-FRAME,USFS,   NaN,45.3988889,-121.6480556,2,2,5,6,27,69.8,1,1,1,78.5,82,90,603,762,4066
TILLY JANE GUARD STATION,USFS,   NaN,45.3988889,-121.6480556,4,6.5,8,121,174.5,182,2,2,2,76.6,81.1,84.4,100,187,1122
TIMBER BUTTE CABIN,USFS,97463,43.9258333,-122.5725,2,2,4,35,98,166,1,2,2,109.9,172.8,183.6,580,1092,2835
TIMBER CREEK CAMPGROUND,USFS,   NaN,39.4,-114.6275,7,20,30,12,30,87,1,3,3,30.1,299.2,415.2,211,562,11854
TIMBERLANE CAMPGROUND,USFS,   NaN,48.4888889,-115.525,30,50,50,53,130.5,185,1,2,3,20,20,20,98,186,8975
TIMBERLINE CAMPGROUND,USFS,91355,39.4319444,-105.7619444,3,5,12,8,18,56.5,1,2,2,68.6,76.4,87.1,803,1585,22541
TIMPANOGAS,USFS,97463,43.4138889,-122.1166667,2,4,6,23.2,56,132.8,2,2,3,106.4,182.1,237.1,255,616,2551
TIMPOONEKE,USFS,   NaN,40.435,-111.6366667,4,8,8,18,61,135,1,2,3,16.6,25.6,38.9,3558,7323,66418
TINNEY FLAT,USFS,   NaN,39.9005556,-111.7275,5,8,30,16,48,141,2,2,3,15.7,52.4,80.2,1215,2947,49836
TIONESTA REC. AREA CAMPGROUND,USACE,   NaN,41.4843056,-79.4490972,2,2,4,0,10,90.8,2,3,4,39,69.4,95.6,15283,56445,177390
TIPSAW LAKE,USFS,47421,38.1330556,-86.6330556,3,5,8,8,21,51,2,2,3,24.5,69.4,178.8,1469,3419,23173
TOAD SUCK,USACE,72082,35.0738889,-92.5447222,2,2,4,0,0,10,1,2,4,15.9,78.7,476.7,14016,45981,124199
TOKETEE GROUP SITE,USFS,   NaN,43.2736111,-122.4038889,13,18.5,26,54,83,160,2,2.5,3,93.5,129.8,246,10,23,556
TOLLGATE,USFS,94301,45.3219444,-121.9052778,2,3,5,6,17,45,1,2,2,59.5,65.1,87.4,1535,3116,11580
TOM'S LAKE CABIN,USFS,   NaN,46.1611111,-86.5905556,2,5,8,28,93,170,2,2,4,62.9,185.5,480.8,210,630,3162
TOMPKINS,USACE,16946,41.9808333,-77.1894444,2,4,6,3,26,151,2,3,4,22,48.5,105.4,16233,59807,241252
TOMPKINS BEND,USACE,71968,34.5730556,-93.4688889,2,4,5,0,0,33,2,3,6,73.3,99.8,130.8,8966,39742,167931
TONY GROVE CAMPGROUND,USFS,   NaN,41.8902778,-111.6372222,4,7,8,30,114.5,175,2,2,3,35.2,89.7,113.6,2922,6973,44600
TORTILLA,USFS,   NaN,33.3830556,-111.5138889,2,3,5,6,12,29,2,2,3,28.4,52.5,232.7,630,1913,6375
TOW STRING HORSE CAMP,NPS,   NaN,35.5394444,-83.2977778,2,3,4,2,5,15.5,1,2,3,51.2,126.1,268.2,116,253,869
TOWERS ARM CABIN,USFS,   NaN,56.8388889,-133.3722222,2,2,3,9.8,49,112.8,2,3,4.2,20.4,20.4,2675.2,41,143,347
TOWERS MOUNTAIN CABIN,USFS,86303,34.25,-112.25,2,4,4,5,13,36,2,2,2,82,101.9,247.7,14,29,88
TOWN CREEK CAMPGROUND - WEST POINT - MS,USACE,   NaN,33.6083333,-88.5041667,2,3,4,0,0,7,2,3,5,23.8,37.2,73.2,11148,48321,148687
TOWNSHEND LAKE DAY USE AREA,USACE,   NaN,43.0532778,-72.7020833,45,55,60,34.8,67,146.8,NaN,NaN,NaN,5.8,18.6,29.2,103,0,0
TRACE BRANCH RECREATION AREA,USACE,   NaN,37.2416667,-83.3727778,2,4,6,0,0,4,1,2,3,7,17.5,35.1,2307,5338,21021
TRACY RIDGE,USFS,   NaN,41.9441667,-78.8761111,2,3,5,5,11,22,2,3,3,100.6,137.6,245.9,303,917,4051
TRAIL CREEK,USFS,   NaN,43.54,-111.0391667,2,3,5,12,32,72.2,1,2,3,311.2,643.8,1217.6,957,2213,7037
TRAIL CREEK CABIN,USFS,59047,45.5693583,-110.8355694,2,3,4,9,23,49,1,1,2,12.5,30.3,115.6,499,809,2393
TRAIL RIVER,USFS,   NaN,60.4147222,-149.3802778,2,4,6,14,47,124,2,2,3,82.6,90.6,92,3260,7558,53994
TRAILHEAD GROUP,USFS,94301,37.9642,-119.2724,7,15,25,46,163,252,1,2,3,243.5,270.6,447,223,578,8930
TRAILS END,USFS,   NaN,40.9122333,-109.2732667,3.8,5,5,7.8,17,43.5,1,1,2,211.8,225.4,363.3,65,85,346
TRAILS END CAMPGROUND,USFS,   NaN,48.1602778,-90.8936111,2,4,5,17,54,135,1,3,4,370.3,399.1,461.1,3383,10512,38746
TRANSFER GROUP CAMPGROUND,USFS,91355,37.4672222,-108.21,20,25,47.8,21.2,68,150.5,1,2,3.8,55,111.4,304.5,23,58,1861
TRAP CREEK CAMPGROUND,USFS,   NaN,44.3163889,-115.0880556,10,20,30,18,65,115.5,2,3,3,127.9,176.3,395.7,83,222,4774
TREASURE PARK - EAST,USFS,   NaN,32.6636111,-109.8711111,25,50,98.5,65,140,245,3,4,7,41,41,105.8,84,388,22481
TREASURE PARK - NORTH,USFS,   NaN,32.6636111,-109.8711111,25,50,99,25.5,120,211.5,3,4.5,7,41,44.7,107.5,88,421,24013
TREE OF HEAVEN CAMPGROUND,USFS,96039,41.7841667,-123.0430556,2,4,6,11,28,71,1,2,3,74.8,375.9,455.1,1466,3270,14014
TRIAL LAKE CAMPGROUND,USFS,   NaN,40.6816667,-110.9480556,4,6,8,25.2,94,175.8,2,2,3,78.4,86.5,98.4,3483,9370,53977
TRILLIUM,USFS,94301,45.27,-121.7344444,2,4,6,13,57,164,1,2,3,71.7,79.7,101.4,11085,25139,106785
TRIMMER CAMPGROUND,USACE,93657,36.9044444,-119.2936111,2,4,8,0,4,17,1,2,2,43.3,83.7,304.3,734,1370,6425
TROLLERS COVE CABIN,USFS,   NaN,55.3638889,-132.1952778,2,3,4,1,10.5,51,1,2,3,56.3,56.3,1126.5,138,371,1210
TROUT CREEK CAMPGROUND,USFS,   NaN,44.3969444,-122.0755556,2,4,6,12,33,121.5,2,2,3,80.6,99.2,127.3,1452,3950,17406
